               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047886,            0.005061,                   0,             0.97505,             0.87374,             0.93267,             0.65656,            0.021698,           0.0027365,                   0,           0.0016438,           0.0016438,            0.025094
                  38,            0.047589,           0.0049014,                   0,             0.93694,              0.9899,             0.98337,             0.75359,            0.013483,           0.0027908,                   0,            0.001684,            0.001684,            0.024434
                  39,            0.042631,           0.0050575,                   0,             0.95972,             0.95455,             0.98855,             0.71536,            0.014524,           0.0027956,                   0,           0.0017241,           0.0017241,            0.023774
                  40,            0.046588,           0.0049914,                   0,             0.96014,             0.97322,             0.98716,             0.76687,            0.014442,           0.0027929,                   0,           0.0017638,           0.0017638,            0.023114
                  41,            0.044903,           0.0049307,                   0,             0.96706,             0.97475,             0.99074,             0.74295,            0.016397,           0.0026991,                   0,           0.0018034,           0.0018034,            0.022453
                  42,            0.042617,           0.0049507,                   0,             0.98263,             0.93939,             0.98628,             0.72506,            0.015216,           0.0026241,                   0,           0.0018427,           0.0018427,            0.021793
                  43,            0.042454,           0.0049783,                   0,              0.9608,             0.99042,             0.99086,             0.79441,            0.012143,           0.0026577,                   0,           0.0018817,           0.0018817,            0.021132
                  44,            0.043751,           0.0048375,                   0,             0.96996,             0.97832,             0.99021,             0.77158,            0.013827,           0.0025688,                   0,           0.0019204,           0.0019204,             0.02047
                  45,            0.044353,           0.0047613,                   0,             0.95376,             0.93759,             0.96069,             0.65516,            0.023487,           0.0024954,                   0,           0.0019589,           0.0019589,            0.019809
                  46,            0.040863,            0.004863,                   0,              0.9941,             0.85142,             0.93317,             0.66416,            0.019316,           0.0026223,                   0,           0.0019971,           0.0019971,            0.019147
                  47,            0.044388,           0.0048693,                   0,             0.97658,             0.93434,             0.97131,             0.75866,            0.016039,           0.0024136,                   0,           0.0020351,           0.0020351,            0.018485
                  48,            0.042937,           0.0047542,                   0,             0.96242,             0.91414,             0.96672,             0.72153,            0.018029,           0.0023995,                   0,           0.0020727,           0.0020727,            0.017823
                  49,            0.042747,           0.0046586,                   0,             0.97044,              0.9948,             0.99367,             0.83378,            0.011384,           0.0024381,                   0,             0.00211,             0.00211,             0.01716
                  50,            0.044381,           0.0046868,                   0,             0.97755,              0.9798,              0.9862,             0.78577,            0.014376,            0.002386,                   0,           0.0021471,           0.0021471,            0.016497
                  51,            0.042427,           0.0046832,                   0,             0.99473,              0.9899,              0.9945,             0.80391,            0.013606,           0.0023011,                   0,           0.0021839,           0.0021839,            0.015834
                  52,            0.038895,            0.004661,                   0,             0.99497,             0.99948,              0.9946,             0.82444,            0.012469,           0.0023546,                   0,           0.0022203,           0.0022203,             0.01517
                  53,            0.041068,            0.004545,                   0,                   1,             0.98866,             0.99471,             0.80158,            0.014067,           0.0024488,                   0,           0.0022564,           0.0022564,            0.014506
                  54,             0.04163,            0.004633,                   0,             0.97932,             0.99495,             0.99444,              0.8293,            0.011266,           0.0024187,                   0,           0.0022922,           0.0022922,            0.013842
                  55,            0.038651,           0.0046105,                   0,             0.98814,              0.9899,             0.99432,             0.86293,            0.010813,           0.0023729,                   0,           0.0023277,           0.0023277,            0.013178
                  56,            0.040735,           0.0044722,                   0,             0.97828,             0.92424,             0.94656,             0.78781,            0.012964,           0.0022463,                   0,           0.0023629,           0.0023629,            0.012513
                  57,            0.039485,           0.0044993,                   0,             0.97452,              0.9697,             0.99112,             0.80802,            0.012535,           0.0022826,                   0,           0.0023977,           0.0023977,            0.011848
                  58,            0.038004,           0.0044467,                   0,             0.99479,             0.96435,             0.99063,             0.84983,            0.011258,           0.0023533,                   0,           0.0024322,           0.0024322,            0.011182
                  59,            0.038262,           0.0044119,                   0,              0.9733,             0.92929,             0.97948,             0.79482,            0.015143,           0.0021576,                   0,           0.0024664,           0.0024664,            0.010516
                  60,            0.039292,           0.0045321,                   0,             0.96318,             0.79279,             0.86896,             0.64677,            0.018733,            0.002278,                   0,           0.0025002,           0.0025002,           0.0098502
                  61,            0.040294,           0.0041818,                   0,             0.98041,             0.79798,             0.81596,             0.64927,            0.021485,           0.0021224,                   0,           0.0025337,           0.0025337,           0.0091837
                  62,             0.04046,           0.0043323,                   0,             0.97825,             0.92929,             0.96107,             0.79393,            0.013679,           0.0020745,                   0,           0.0025668,           0.0025668,           0.0085168
                  63,            0.039313,           0.0042603,                   0,             0.98651,             0.78283,              0.8222,             0.59946,            0.023601,           0.0021061,                   0,           0.0025996,           0.0025996,           0.0078496
